source,target,context,comment
... [[???] #81],,[???] #81,…………………………
There's another lattice door...,,[Rean] #82,また格子扉か…
"There should be a mechanism
 to open it somewhere nearby.",,[Gaius] #83,"近くの仕掛けで開くはずだ。
 探してみるぞ。"
Whew... I'm exhausted...,,[Emma] #84,はぁ…ちょっと疲れました。
It's gotta be the chest...,,[Fie] #85,やっぱり胸が…
"Fie, that's enough.",,[Rean] #86,"フィー。
 そのくらいにしなさい。"
...Honestly.,,[Gaius] #87,…まったく。
"Ugh. If I hadn't been so careless,
 this would never have happened...",,[Machias] #88,"クッ、しかし油断しなければ
 こんな事態には…"
There wasn't much you could've done.,,[Rean] #89,あの場合は仕方ないさ。
Heehee. I'm just glad you're all right.,,[Emma] #90,"ふふっ…
 とにかく無事で良かったです。"
That's the wrong way...!,,[Fie] #91,そっちは違う…！
We need to head east! Hurry!,,[Gaius] #92,東へまっすぐだ、急ぐぞ！
Yoohoo!,,[Alisa] #93,やっほ──…っ！
Heehee. You're as excited as a child.,,[Emma] #94,"ふふっ、アリサさん、
 子供みたい。"
"Ahaha. I think I'm just
 caught up in the moment.",,[Alisa] #95,"あはは、ちょっと
 ハイになってるみたい。"
The sun's almost down...,,[Gaius] #96,日が落ちてきたな…
"We're almost at the settlement.
 Let's keep up the pace, guys.",,[Jusis] #97,"集落までもう少しだ。
 このまま飛ばすとしよう。"
Heehee. Look at all the sheep here.,,[Emma] #98,"ふふっ…
 羊がたくさんですね。"
Watching them makes me feel so...content.,,[Alisa] #99,うーん、癒されるわね。
You have an orbal truck here?,,[Rean] #100,"へえ、導力車も
 使っているんだな？"
Looks like an old-model Reinford truck.,,[Alisa] #101,"ラインフォルト製の
 古い運搬車みたいだけど…"
"Yup. It was donated to the
 settlement a few years ago.",,[Jusis] #102,"数年前、とある人が
 寄贈してくれたものでな。"
"I'm surprised to see a river
 running at this elevation.",,[Gaius] #103,"ほう…こんな高地にも
 川が流れているのか。"
It's fed from the lake to the north.,,[Jusis] #104,"ああ、北にある湖から
 流れてきたものだ。"
"I figured there'd be monsters
 around. Be careful, everyone.",,[Jusis] #105,"やはり魔獣が出ている…
 気をつけて行くとしよう。"
Got it.,,[Rean] #106,ああ、了解だ…！
Umm... Isn't this the way to...?,,[Emma] #107,えっと、こちらの方って…
"This path leads to the stone
 circle you saw yesterday.",,[Jusis] #108,"このまま道沿いに回ると
 昨日の石柱群にたどり着くな。"
Is this the way to the watchtower?,,[Gaius] #109,監視塔とやらはこの先か。
Yeah. Just keep heading along this path.,,[Jusis] #110,"ああ、このまま
 道沿いに行けばいい。"
Well...here we are...,,[Alisa] #111,や、やっと門に着いたわね…
"Let's go meet with the
 lieutenant general.",,[Rean] #112,"ああ…
 中将から話を聞いてみよう。"
That's...,,[Alisa] #113,あれが…
It looks like a Calvard military base.,,[Emma] #114,共和国軍の基地みたいですね…
"It is. This area kind of acts as a
 buffer zone between the two countries.",,[Jusis] #115,"ああ…ちょうどこの辺りが
 緩衝地帯になっているらしい。"
There's mist in the distance...,,[Gaius] #116,モヤが立っているな…
"Yeah. It's even higher here
 than the southern highlands.",,[Rean] #117,"ああ、南よりも
 さらに高地なんだろう。"
Wow... That's one towering waterfall.,,[Alisa] #118,"わぁ…あの滝、
 凄い高さから落ちてるわね。"
"I'll say. It must be at
 least a 500 arge drop.",,[Emma] #119,"ええ、５００アージュくらい
 落差がありそうですね…"
"Oh, it's a plateau. I guess
 this way's a dead end.",,[Rean] #120,"高台か…
 こちらは行き止まりだな。"
"Ahhh... I love how refreshing
 the wind feels here.",,[Emma] #121,ふふっ、風が気持ちいいですね。
"Oh... We made it all the way
 to where the giant statue is.",,[Alisa] #122,あ…像の正面に来たわね。
"It looks even more massive
 the closer we get.",,[Rean] #123,ああ、それにしても大きいな…
"To get right in front of it, we'll
 need to go around the cliff.",,[Jusis] #124,"像の前に行くには
 左右から回り込む必要があるな。"
I'm glad to be back here again.,,[Emma] #125,ふぅ…ホッとしますね。
"Agreed. I'm certainly
 in no hurry to return.",,[Gaius] #126,"フン…
 辛気臭い場所だったな。"
How beautiful...,,[Alisa] #127,……綺麗………
Yeah... Breathtaking.,,[Emma] #128,素敵な場所ですね…
"Man, I'd love to get in
 a little fishing here.",,[Rean] #129,"うーん…
 釣りがしたくなるな。"
"Well, no one's stopping you.",,[Gaius] #130,別に止めはしないぞ。
This is...,,[Emma] #131,ここは…
It's so gloomy in here...,,[Alisa] #132,な、なんか薄暗いわね…
... [[Jusis] #133],,[Jusis] #133,…………………………
"That's one of the Imperial
 Army's airships...",,[Alisa] #134,"帝国軍が運用している
 軍用飛行艇だわ…"
"This situation is looking
 worse by the minute.",,[Gaius] #135,"フン、思った以上に
 キナ臭くなっているな。"
...We need to hurry.,,[Jusis] #136,…とにかく急ぐぞ。
"Those are armored cars
 from the Imperial Army...!",,[Emma] #137,帝国軍の導力装甲車…！
Damn... This isn't looking good...,,[Rean] #138,クッ、このままじゃ…
... [[Jusis] #139],,[Jusis] #139,………………………
We can't let them get away!,,[Jusis] #140,このまま行かせるものか…！
Right! We need to overtake them!,,[Rean] #141,"ああ！
 何としても追いつこう！"
Crap... They're fast!,,[Rean] #142,くっ、速い…！
Just don't lose sight of them!,,[Gaius] #143,ともかく見失うな…！
"Did they touch down near
 the stone circle...?",,[Emma] #144,"せ、石柱群のあたりに
 降りたんでしょうか…！？"
Grrr... There's no escape for them now!,,[Alisa] #145,"くうう～…
 絶対に追いつくわよっ！"
Woohoooooo! This is amaaaziiiiiing!,,[Altina] #146,"ひゃっほう！
 あはは、気持ちいーね！"
"*sigh* If you keep squirming around
 back there, you're going to fall off.",,[Rean] #147,"はあ…あんまりはしゃいで
 落ちないようにな？"
"Mmm... If we keep up this pace,
 we might make it in time after all.",,[Altina] #148,"うーん、この速度なら
 何とか間に合いそうかな？"
Not might. We WILL make it in time.,,[Jusis] #149,"ああ…
 必ず間に合わせてみせる！"
"The ancient quarry is this way, right?",,[Alisa] #150,石切り場…この先ね。
Yup. Just 'round the back of this statue!,,[Altina] #151,うん、この像の裏手だよ～！
"What are those glowing things, anyway?",,[Alisa] #152,"それにしても…
 なに、あの光ってるの…？"
"I'm actually rather curious, myself.",,[Emma] #153,"ええ…
 ちょっと気になりますね。"
A-hem!,,[Altina] #154,──えっへん！
How does that thing even WORK?,,[Gaius] #155,"まったく…
 どういうカラクリだ。"
"That one's huge... What do you
 think they could be?",,[Rean] #156,大きいな…本当に何なんだ？
"I don't know, but we'd better
 exercise a little caution.",,[Jusis] #157,"判らん──だが、
 気を付けた方がよさそうだ。"
"Oh, we're back outside.",,[Altina] #158,あ、外に出たね。
"Ahhh... It's nice to be back
 in the great outdoors again.",,[Alisa] #159,"ふう…
 少しホッとするわね。"
"Ah, isn't this...?",,[Laura] #160,おや、この建物は…
"Oh, this is where they publish the
 Imperial Chronicle newspaper.",,[Elliot] #161,"《帝国時報》──
 おなじみの新聞社だね。"
"So this is the opera house, huh?
 Might be nice to see a show sometime.",,[Rean] #162,"オペラハウスか…
 ちょっと興味あるな。"
"You need to reserve your seats
 two months in advance, though.",,[Machias] #163,"入りたいのなら２ヶ月前から
 予約する必要があるぞ。"
...And that's just for the cheap seats!,,[Elliot] #164,それでもＢ席だもんねぇ。
"Wow. A tiara encrusted with carnelians?
 This is about as ritzy as you can get.",,[Rean] #165,"紅耀石のティアラか…
 かなりの品みたいだな。"
It's so shiny...,,[Fie] #166,ん…キラキラしてる。
"Here's the statue of Emperor Dreichels.
 He strikes quite a stately pose.",,[Laura] #167,"獅子心皇帝…
 威風堂々としたお姿だな。"
"Weird to think he's the one
 who founded our academy.",,[Rean] #168,"ああ、俺たちにとっても
 縁のある人なんだよな。"
Hmm... Looks like we've hit a dead end.,,[Laura] #169,ふむ…こちらは行き止まりか。
This area seems easy to get lost in.,,[Rean] #170,"うーん、土地勘がないと
 迷いそうだな。"
That's three cats now.,,[Fie] #171,ネコ、これで３匹目。
Ahaha. What a little cutie.,,[Elliot] #172,あはは、可愛かったね。
"There have always been a lot of cats
 around here. Not sure why, though.",,[Machias] #173,"…この辺りは
 なぜか猫が多いんだ。"
"This would make a great training area.
 I envy the people who live around here.",,[Laura] #174,"ふむ、中々良い修行場所だ。
 帝都民がうらやましいぞ。"
"...Only YOU would see an underground
 passage and think about training.",,[Machias] #175,"そんな感想を抱くのは
 間違いなく君くらいだぞ…"
There's a light...,,[Fie] #176,明かりが見えた。
"The sound's getting louder, too.",,[Elliot] #177,音も大きくなってる…
"We must be getting
 close to the exit now.",,[Rean] #178,出口が近いみたいだな。
Ahhh... What a pleasant evening.,,[Laura] #179,ふふ、良い夜だな。
It's pretty relaxing.,,[Fie] #180,ん…落ち着く。
"(No denying those two have
 some surprising similarities...)",,[Rean] #181,"（やっぱりこの２人、
  元々気が合うんだな…）"
Being near water always helps me relax.,,[Laura] #182,"フフ…
 やはり水辺は落ち着くな。"
"Oh, yeah. Your hometown is right
 on a lake, isn't it?",,[Rean] #183,"そういえば、ラウラの故郷は
 湖に面してるんだったか。"
Esperanza?,,[Fie] #184,“えすぺらんさ”…？
I believe it means 'hope.',,[Machias] #185,たしか“希望”という意味だな。
"This park is so peaceful, it's easy
 to forget we're in the capital.",,[Laura] #186,"のどかだな…
 帝都にあるとは思えぬくらいだ。"
I could take a nap here.,,[Fie] #187,昼寝したいかも。
"Ahaha. Yeah. People love to
 come here to relax.",,[Elliot] #188,"あはは、一応、
 帝都市民の憩いの場所だからね。"
"*sigh* Just coming here reminds
 me of last night's ordeal.",,[Machias] #189,はあ…昨夜は散々だった。
Sounds like you had a rough night.,,[Elliot] #190,あはは…ご愁傷さま。
There are so many butterflies.,,[Fie] #191,蝶、結構いるね。
"It really gives the place an
 exotic touch, huh?",,[Rean] #192,"ああ、ちょっと
 異国情緒があるな。"
I wonder when that mechanism was made...,,[Elliot] #193,"こういう仕掛けって、
 何時ごろ造られたのかな？"
"I'm guessing a few hundred years ago
 at least. Probably during the Dark Ages.",,[Machias] #194,"たぶん数百年前…
 中世の暗黒時代じゃないか？"
Those were difficult times back then.,,[Laura] #195,ふむ、戦乱の時代だな。
This area's full of water...,,[Elliot] #196,水が溜まってるね…
"I'll bet there's some way
 to drain it.",,[Rean] #197,ああ、どうしたもんかな。
"Let's have a look around, then.",,[Fie] #198,周りを調べてみるしか。
"This place seems like it goes
 on forever...",,[Elliot] #199,"そ、それにしても
 とんでもなく広いよね…"
"My father sure gave us a real
 humdinger of a job to deal with.",,[Machias] #200,"ああ…父さんめ、
 厄介ごとを押し付けたな。"
"Well, I'm sure we must be
 getting close now.",,[Rean] #201,"はは…
 まあ、あと少しだろう。"
"Oh, there's the exit.",,[Fie] #202,あ、出口だ。
Haha. We're finally there.,,[Laura] #203,フフ、やれやれだな。
"Sure are more people out than
 there were yesterday.",,[Rean] #204,"しかし昨日よりも
 ずいぶん人出が多いな…"
"They must've all come to see
 the Imperial family's parade.",,[Elliot] #205,"あはは、皇族の方々の
 パレード目当てだろうね。"
Grr... Those damn terrorists...,,[Machias] #206,くっ、テロリストめ…
"(Elise... Princess Alfin...
 Please be safe!)",,[Rean] #207,"（エリゼ、皇女殿下も…
  無事でいてくれ…！）"
Monsters!,,[Elliot] #208,魔獣がいる…！
"No problem. We'll just
 cut our way through!",,[Laura] #209,"問題ない…！
 このまま蹴散らすぞ！"
Ja.,,[Fie] #210,Ｊａ（ヤー）。
"This is Lake Ebel, right? It's even
 bigger than I thought it'd be!",,[Millium] #211,"エベル湖だっけー。
 けっこう広そうな湖だよね。"
"It's quite large. If the mist would
 clear, you could get a better view.",,[Laura] #212,"うむ、今日はあいにく
 霧が出てよく見えぬが。"
"A cross inside a circle...
 Any idea what it means?",,[Gaius] #213,"円に十字か…
 どんな意味があるんだ？"
"No one really knows for sure. There
 are a number of theories, though.",,[Laura] #214,"さて…諸説はあるが
 どれも定かでないらしい。"
"Unfortunately, the meanings of most
 animist symbols have been lost over time.",,[Emma] #215,"精霊信仰におけるシンボルの意味は
 殆ど喪われているそうですから…"
You've got a wharf here?,,[Jusis] #216,このあたりは、船着場か？
"We do. A ferry makes trips between
 here and the opposite shore.",,[Laura] #217,"うむ、対岸にある波止場と
 定期船が行き来しているな。"
"If you crossed the lake, you'd be
 in the Sutherland province, right?",,[Rean] #218,"対岸というと…
 サザーラント州になるのか。"
"This building is the Legram
 branch of the Bracer Guild.",,[Laura] #219,"この建物が、遊撃士協会、
 レグラム支部になる。"
"Wow. I didn't think that door
 led out here.",,[Millium] #220,へー、こんな所に出られるんだー。
Haha. Nice find.,,[Rean] #221,はは、穴場かもしれないな。
It feels almost...magical.,,[Jusis] #222,しかし…幻想的な光景だな。
"I know. Like if you just wait long enough,
 you might see a fairy or something.",,[Emma] #223,"そうですね…
 本当に妖精とか現れそうです。"
"Oh, the train comes through here!",,[Millium] #224,あ、線路があるよ！
"That's the Ebel Branch Line--the
 same line we traveled here on.",,[Gaius] #225,"エベル支線…
 俺たちが通ってきた路線か。"
"Oh, wow. There's a river out here.",,[Rean] #226,へえ、川が流れているのか。
"Haha. I remember playing in
 this river when I was young.",,[Laura] #227,"フフ、幼い頃はあそこで
 よく水遊びをしたものだ。"
"Oooh, there's a boat on the wharf!",,[Millium] #228,あー、船が来てるよ！
"That's the ferry liner. It returns
 to the wharf every evening.",,[Laura] #229,"水上定期船だ。
 夕方にはこちらに戻ってくる。"
"Ahhh. It's so cool here, you'd
 hardly believe it's summer.",,[Millium] #230,はー、夏なのに涼しいね～。
"The weather's pleasant today.
 A fine wind blowing, too.",,[Jusis] #231,"天気もいいし、
 良い風が吹いているな。"
"Strutting around another lord's
 territory... How pompous can you get?",,[Gaius] #232,"気に喰わんな…
 よその領地で我が物顔とは。"
It sounds like there's a real VIP here...,,[Emma] #233,"かなりの地位の方が
 いらしているようですが…"
"...Well, let's return to the manor
 for now.",,[Laura] #234,…まあ、ともかく戻るとしよう。
"So this is St. Sandlot's old
 stronghold, Lohengrin Castle...",,[Rean] #235,"ローエングリン城…
 救国の聖女の古城か。"
"This is the first time I've come here
 at night. Be careful of your footing.",,[Laura] #236,"私も夜に来るのは初めてだ。
 足元に気をつけるがいい。"
Whoa! What's that?,,[Millium] #237,ほえ、あれって…
Something's strange about the castle...,,[Gaius] #238,城の外壁のようだが…
Is that glow just the moonlight?,,[Jusis] #239,"月明かりで
 光っているのか…？"
"This castle has no shortage of strange
 foes. Perhaps they really ARE gho--",,[Gaius] #240,"妙な連中ばかりだな。
 フン、やはり幽──"
D-Don't say it!,,[Millium] #241,い、言っちゃだめーっ！！
"You need a 'key' to dispel a barrier
 like this. We should start looking.",,[Emma] #242,"この種の結界には“鍵”があるはず。
 …それらしい物を探してみましょう。"
"An external corridor. We must be
 on the north side of the castle.",,[Jusis] #243,"外回廊…
 城の北側になるみたいだな。"
"We've gone pretty far inside now.
 I hope the children are safe...",,[Laura] #244,"かなり奥まで来たはずだ。
 子供たちが無事だといいが…"
"Oh, another barrier. Let's see if we
 can find the orb that dispels it.",,[Emma] #245,"あ…また結界ですね。
 対応する宝珠を探しましょう。"
"(This all seems strangely
 ...normal to her.)",,[Rean] #246,（委員長、妙に手際がいいな…）
"Left hand, right hand,
 left hand, right hand...",,[Millium] #247,うんしょ、うんしょ…
Tch... Nothing but trouble.,,[Gaius] #248,フン、面倒だな。
This looks like...,,[Rean] #249,ここが…
"We've reached the uppermost floor.
 The bell tower is ahead.",,[Laura] #250,"城の最上階…
 この先に鐘楼がある。"
"The energy's source is
 nearby... Almost there!",,[Emma] #251,"気配が近い…
 行ってみましょう！"
What the...?!,,[Rean] #252,これは…！
"Looks like they were packing explosive
 charges. We'll need to find another route!",,[Sara] #253,"爆発物で破壊したみたいね。
 …他のルートを探すわよ！"
It seems this is a storage area.,,[Gaius] #254,ここは倉庫区画か…
"Plenty of archaisms wandering
 around here, too.",,[Millium] #255,"やっぱり人形兵器が
 徘徊しているみたいだねー。"
We finally got around to the other side.,,[Jusis] #256,"破壊されたゲートの向こうに
 来たようだな。"
"The path to the right leads deeper
 into the fort. Let's keep moving.",,[Laura] #257,"要塞の奥は右手か…
 このまま進むとしよう。"
"Oooh, an orbment charging station!",,[Millium] #258,あ、回復装置だ♪
"That door near it looks
 like it leads outside...",,[Emma] #259,"外への出口も
 あるみたいですけど…"
"Probably an external corridor.
 Everyone, follow me!",,[Sara] #260,"たぶん外回廊ね…
 みんな、付いてきなさい！"
Hmph. Another storage area.,,[Gaius] #261,フン、また別の倉庫区画か。
"Hmm... Looks like we hang a
 left if we wanna go through.",,[Millium] #262,"えーと、左手に向かえば
 エリアを抜けられるみたい。"
"This is the freight platform... We
 finally made it to the other side.",,[Emma] #263,"貨物用のホーム…
 反対側にたどり着きましたね。"
"We've gotta be close. Just need to
 head up that staircase over there!",,[Sara] #264,"ゴールは近いわね。
 …そこの階段を登るわよ！"
(ARCUS ringing),,[(Phone)] #265,（プルルル…プルルル…）
"Sara here... Yeah. We're almost to
 the railway gun.",,[Sara] #266,"こちらサラ──ええ、もう少しで
 列車砲の格納庫に到達します。"
Yeah. May Aidios be with us both.,,[Sara] #267,お互い女神の加護を…！
Is Group B almost there?,,[Rean] #268,あちらも大詰めですか…
"This is it, so get ready!",,[Sara] #269,"ええ…
 こっちも気合を入れるわよ！"
Right!,,[???] #270,はいっ…！
"*sigh* Master Rean, please
 don't cause too much trouble.",,[Mint] #271,"ふう…リィン様。
 あまり困らせないで下さいませ。"
"Let's make our way to the
 Reinford headquarters.",,[Mint] #272,ＲＦ本社ビルに参りましょう。
"Uh... Right. Of course.
 (...Why is she singling ME out?)",,[Rean] #273,"りょ、了解です。
 （って、俺だけのせいなのか？）"
M a s t e r R e a n?,,[Mint] #274,リ・ィ・ン・様…？
"I-I'm sorry. (That'll give me
 nightmares...)",,[Rean] #275,"す、すみません。
 （…笑顔が怖い…）"
(Sweet dreams.),,[Crow] #276,（バッカ、むしろご褒美じゃねぇか。）
"This way leads to Marquis
 Rogner's mansion.",,[Alisa] #277,"その先は…
 ログナー侯爵家の敷地ね。"
"So that's where Gelica's stubborn
 old man lives, huh? Better stay away.",,[Crow] #278,"ゼリカの堅物オヤジか。
 会いたくねーなぁ。"
These things sure are convenient.,,[Elliot] #279,うーん…結構便利かも。
"I know, right? I can see them building
 some in Heimdallr eventually.",,[Machias] #280,"ああ、帝都でも
 いずれ導入されそうだ。"
"Wh-Why are you going the wrong
 way? Just because you can?",,[Alisa] #281,"な、なんでわざわざ
 逆走するのよ？"
It's kinda fun.,,[Fie] #282,ちょっと楽しいかも。
"Plain old stairs just wouldn't cut it,
 for the famed industrial metropolis, huh?",,[Machias] #283,"街中にこんなものまで…
 つくづく機械の街という感じだな。"
"Yeah... For better or worse,
 this is a town full of tech.",,[Alisa] #284,"そうね…
 良きにつけ、悪しきにつけだけど。"
Looks like a dead end.,,[Fie] #285,ん、行き止まりみたい。
"This was...some kind of
 maintenance room, I think?",,[Alisa] #286,"ここは…メンテナンス用の
 整備室だったかしら。"
"Wow. You can get a great view of
 the Reinford building from here.",,[Elliot] #287,"うわ～、ここからだと
 ＲＦビルがよく見えるね。"
...And a really sore neck.,,[Fie] #288,…見てたら首が凝りそう。
"Oh, yeah. This road leads all the way
 to your hometown, doesn't it, Rean?",,[Elliot] #289,"そういえば、この道って
 リィンの故郷に通じてるんだよね？"
"Yeah. It'd take you days to get there
 if you tried to walk it, though.",,[Rean] #290,"ああ、と言っても
 徒歩だと数日はかかると思うぞ。"
Huh. This is a pretty nice area.,,[Rean] #291,へえ、いい場所だな。
"Grandfather used to love coming here
 to fish, now that I think about it.",,[Alisa] #292,"そういえば、お祖父様が
 よくここに釣りに来てたわね。"
"You can always count on provincial
 army soldiers to be arrogant as hell.",,[Machias] #293,"領邦軍…
 相変わらず横柄な連中だな。"
"Hmm... Wonder what they're
 doing out here.",,[Crow] #294,んー…何かあんのかねぇ？
"Wow! You can see all of Roer
 spread out from here.",,[Rean] #295,"へえ、ここからだと
 ルーレ市が一望できるな。"
