source,target,context,comment
Student Council Tasks,Phong Bì Nhiệm Vụ Ngoại Khóa,,"Có thể dùng luân phiên với bao thư, nhưng do tính chất bị niêm phong nên nó phải là phong bì"
Field Study,Thực Địa Đặc Biệt,,
Bracer Guild,Hiệp Hội Du Kích Sĩ,,
Eastern,phương Đông,,
EVA,Né Tránh,,
Ore,Quặng/Khoáng thạch,Vật phẩm,cho đa dạng từ vựng
Grand Rose,Đại Tường Vi,Cây cỏ,
Passion Leaf,Lá Nhiệt Tình,Cây cỏ,
Snow Lily,Huệ Tuyết,Cây cỏ,
RF Company,Tập Đoàn RF,Tên riêng,
Middle Age,Trung Cổ,Biệt ngữ,
gunswords,Song Kiếm Súng,Vật phẩm,
death,Tức Tử,Biệt ngữ,
Imperial Army,Quân Đội Đế Quốc,Tên riêng,
Sepith,Sepith,Vật phẩm,
Quest,Ủy Thác,Biệt ngữ,
Septium.,Thất Diệu Thạch,Vật phẩm,
Eisenritter.,Thiết Kỵ Binh,Tên riêng,
Boots,Ủng,Vật phẩm,
Prevents,Kháng,Biệt ngữ,
Goddess Aidios,Nữ Thần Eidos,Tên riêng,
Artifact,Cổ Vật,Tên riêng,
amberl,Hổ Diệu Thạch,Vật phẩm,
Delay,Làm Chậm,Biệt ngữ,
Vanish,Tan Biến,Biệt ngữ,
Prevents K.O.,Cải Tử Hoàn Sinh,Biệt ngữ,
CP Up,Hồi CP,Biệt ngữ,
Swordtail,Cá Kiếm,Tên riêng,
Carp,Cá Chép,Tên riêng,
Salmon,Cá Hồi,Tên riêng,
Zeiss,Zeiss,Tên riêng,
Factory,Xưởng công nghệ,Tên riêng,Cần check
Pikkard,Pikkard,Tên riêng,
Kopold,Kopold,Tên riêng,
Student,Học Viên,Tên riêng,
Instructor,Giáo Quan,Tên riêng,
Brave Point,Điểm Anh Dũng,Biệt ngữ,Need check
Craft,Craft,Biệt ngữ,
Art,Art,Biệt ngữ,
Student Council,Hội Học Sinh,Tên riêng,
Master Quartz,Quartz Lõi,Tên riêng,
Insight,Tâm Nhãn,Biệt ngữ,
Mirage,Hệ Ảo Ảnh,Biệt ngữ,
Assit,Truy Kích,Biệt ngữ,
Rush,Liên Kích,Biệt ngữ,
Burst,Tổng Kích,Biệt ngữ,
Earth Element,Hệ Thổ,Biệt ngữ,
Water Element,Hệ Thủy,Biệt ngữ,
Fire Element,Hệ Hỏa,Biệt ngữ,
Wind Element,Hệ Phong,Biệt ngữ,
Time Element,Hệ Thời Gian,Biệt ngữ,
Space Element,Hệ Không,Biệt ngữ,
Single / Target,Đơn,Biệt ngữ,
All / Screen-wide,Toàn Thể,Biệt ngữ,
Self,Bản Thân,Biệt ngữ,
Circle,Tròn,Biệt ngữ,
Line,Thẳng,Biệt ngữ,
S,Tiểu,Biệt ngữ,
M,Trung,Biệt ngữ,
L,Đại,Biệt ngữ,
XL,Cực Đại,Biệt ngữ,
Shield,Chống Phép,Biệt ngữ,
Counter,Phản Đòn,Biệt ngữ,
peculiar dish,Món ăn kỳ lạ,Biệt ngữ,
Attack Rank,Bậc Công Kích,Biệt ngữ,
Magic Reflect,Phản Phép,Biệt ngữ,
Chancellor,Thủ Tướng,Tên riêng,
Imperial Chronicle,Thời Báo Đế Quốc,Tên riêng,
Imperial Provincial Council,Lãnh Bang Đế Quốc,Tên riêng,
The Four Great Houses,Tứ Đại Danh Môn,Tên riêng,
Chairman Irina,Chủ Tịch Irina,Tên riêng,
The Imperial Liberation Front,Mặt Trận Giải Phóng Đế Quốc,Tên riêng,
Orchis Tower,Tháp Orchis,Tên riêng,
Garrelia Fortress,Thành Lũy,Tên riêng,
Red Moon Rose,Hoa Hồng Dưới Trăng Đỏ,Tên riêng,
Laccrose,Bóng vợt,Tên riêng,
Near-Death,Lâm Nguy,Biệt ngữ,
Advantage,Tấn Công Lợi Thế,Tên riêng,
Radio Station,Đài Phát Thanh,Tên riêng,
Radio Station Producer,NSX Chương Trình Phát Thanh,Tên riêng,
HP,HP,Chỉ số nhân vật,
STR,SM / Sức Mạnh,Chỉ số nhân vật,Sức mạnh
DEF,PT / Phòng Thủ,Chỉ số nhân vật,Phòng Thủ
ATS,PL / Pháp Lực,Chỉ số nhân vật,Pháp Lực
ADF,PA / Phòng Art,Chỉ số nhân vật,Phòng Art
SPD,TĐ / Tốc Độ,Chỉ số nhân vật,Tốc Độ
ACC,CX / Chính Xác,Chỉ số nhân vật,Chính Xác
CRT,TM / Trí Mạng,Chỉ số nhân vật,Trí Mạng
RNG,PV / Phạm Vi,Chỉ số nhân vật,Phạm Vi Tầm Đánh
MOV,DC / Di Chuyển,Chỉ số nhân vật,di chuyển
AGL,NN / Nhanh Nhẹn,Chỉ số nhân vật,nhanh nhẹn
DEX,KL / Khéo Léo,Chỉ số nhân vật,Khéo Léo
Area,Tròn,Combat - AoE,
Cure,Giải trừ,Hiệu ứng bất lợi,
Death,Tức Tử,Hiệu ứng bất lợi,
Poison,Độc,Hiệu ứng bất lợi,
Suction,Hút,Cơ chế combat,Hút kẻ địch lại
Attack,Tấn Công,Phân loại kỹ năng,
Double Advantage,Song Đột Kích,Cơ chế combat,
Triple Advantage,Tam Đột Kích,Cơ chế combat,
